index,0
",",2725
SRC,1
0,9
"""",1730
Холо,2
##кос,2
##ты,77
жоққа,3
шығаратын,4
кейбір,7
сарапшылар,2
газ,6
камера,2
##сының,19
күш,12
-,728
қуаты,3
##н,239
есеп,11
##тей,19
келіп,16
6,12
миллион,9
же,21
##бір,22
##ейді,2
от,7
##қа,75
жа,61
##ғу,8
үшін,59
он,14
бес,15
жыл,26
уақыт,6
қажетті,5
##гін,10
ар,26
##иф,1
##мет,4
##икалық,5
тұрғыда,2
##теп,7
шыққан,16
.,2098
Ал,30
неміс,3
##тердің,5
##ей,39
##лерді,2
бойы,10
жақ,11
##паған,2
##ы,175
белгілі,10
алғаш,8
шығарған,1
##дардың,10
бірі,29
–,70
соғыс,11
##та,38
лагерь,1
т,95
##ұ,108
##т,78
##қыны,6
болған,37
француз,4
Пол,2
##ь,18
Рас,2
##син,2
##ье,4
деген,42
адам,49
1,28
Бірнеше,5
сағат,2
суретті,1
1300,1
ұ,85
##натып,3
430,2
өз,29
пара,9
##қша,4
##сы,89
арқылы,17
бөлісті,1
Facebook,1
қолдану,5
##шылары,5
ә,52
##жей,2
##дің,48
басқа,30
саяхат,2
##тары,27
туралы,11
толы,3
##ғырақ,1
б,97
##іл,14
##гісі,3
келетін,4
##ін,78
жазып,6
жатыр,25
2,18
Сөйтіп,3
там,4
##ил,2
##дер,47
мекен,8
##дейтін,3
аймақта,4
—,164
Там,3
##или,1
##ад,1
штаты,6
телу,1
##гула,1
##рдың,9
Ан,7
##д,15
##х,10
##ра,14
Пра,2
##де,89
##ш,29
кан,3
##нара,1
##лардың,24
Кар,4
##ната,2
##ка,9
малая,1
##лил,2
##ердің,5
К,59
##ера,1
##ла,22
құрылды,7
3,15
Бүгінде,1
к,47
##өш,6
##ір,24
##ме,10
##ші,42
монтаж,1
##дау,9
##шы,52
болып,46
еңбек,13
етіп,16
жүр,20
4,14
Ван,2
##юш,1
##ин,9
##нiң,2
“,33
Т,54
##iр,7
##ек,12
н,17
##үк,9
##тес,8
##i,21
”,32
(,175
1952,1
),176
пов,4
##есте,5
##р,77
жарияланды,5
5,23
Халық,12
тығыздығы,7
38,5
43,8
/,25
км²,15
Михаил,1
Ер,13
##еме,3
##евич,10
Ки,6
##ль,15
##чи,2
##чак,1
##ов,28
1919,1
21,4
қараша,7
1990,1
23,5
тамыз,4
хак,1
##ас,9
драматург,2
##і,172
ақын,2
1944,3
жылдан,13
КО,3
##КП,1
мүшесі,3
7,21
2006,4
жылғы,19
мәліметтер,15
бойынша,63
тұрғындарының,14
саны,24
328,2
##1,4
адамды,18
құрайды,17
8,7
Ол,57
бұл,57
жағдайды,3
қате,5
##лік,17
деп,115
түсіндірді,1
9,17
Же,9
##лі,22
Қайрат,1
және,134
Ақтөбе,5
футбол,4
клуб,4
##тарының,7
жан,19
##кү,4
##й,65
##ерлер,1
##інің,24
жаппай,2
##ө,24
##бел,2
##есі,13
##нің,74
видео,3
пайда,15
болды,72
хабарлайды,14
Vesti,2
kz,12
10,12
Б,33
##мей,15
##мін,9
Тарих,1
пен,26
сұлу,3
##лықтың,3
да,167
бір,111
біріне,7
қандай,16
қатысы,1
бар,93
екенін,19
түсіне,5
алмай,19
отырмын,1
Жас,25
##ын,98
ау,43
##зына,5
апа,6
жатқан,35
ф,18
##уже,1
##рін,10
орта,6
жолда,5
қайта,27
##рып,15
стол,4
##ға,216
қойды,15
##іле,10
##сіз,32
бе,18
сіз,10
маған,6
##нап,3
келе,29
##сыз,41
деді,98
оған,18
с,92
##үй,20
##сіне,7
қарап,38
Маған,5
бойындағы,3
##лық,63
##тан,25
гөрі,3
сөзі,8
ұнайды,1
##м,76
Қай,6
##дан,51
білесіз,3
?,111
##лап,9
оқып,8
сіздің,5
екі,64
кітабы,3
##ңыз,12
айтты,8
кеуде,2
##сін,15
көтеріп,10
##рік,3
сау,16
##сақ,8
